ACTINV-PROBLEM 1
n 3822
decay 8751
240 240 -1.08304246962491457e+00
261 240 9.53077373269924810e-01
260 240 1.29965096354989734e-01
241 241 -2.47552564485694715e+00
262 241 1.83188897719414090e+00
261 241 6.43636667662806250e-01
242 242 -5.54517744447956229e+00
263 242 4.66903940825179120e+00
262 242 8.76138036227770867e-01
243 243 -6.93147180559945220e+00
264 243 4.85203026391961600e+00
263 243 2.07944154167983575e+00
244 244 -1.42916944445349543e+01
265 244 7.14584722226747715e+00
264 244 7.14584722226747715e+00
245 245 -1.89903337139711041e+01
265 245 1.89903337139711041e+01
246 246 -3.74674151654024499e+01
267 246 1.87337075827012249e+01
266 246 1.87337075827012249e+01
247 247 -3.46573590279972646e+06
268 247 3.46573590279972646e+06
248 248 -3.46573590279972646e+06
269 248 3.46573590279972646e+06
249 249 -6.93147180559945326e+01
205 249 6.93147180559945326e+01
250 250 -4.47191729393513100e+01
229 250 4.31987210594133657e+01
207 250 1.02854097760508001e+00
184 250 4.91910902332864386e-01
251 251 -5.54517744447956229e+00
230 251 4.39732571347229317e+00
208 251 1.14785173100726934e+00
252 252 -3.70666941475906553e+00
231 252 1.96453478982230489e+00
209 252 1.74213462493676063e+00
253 253 -5.88410170254622500e-01
232 253 5.88410170254622500e-01
254 254 -2.69497348584737673e-01
233 254 2.69497348584737673e-01
258 258 -9.16756577766701384e-08
280 258 9.16756577766701384e-08
260 260 -2.28761445729354883e-03
282 260 2.28761445729354883e-03
261 261 -6.78358955333671247e-05
283 261 6.78358955333671247e-05
262 262 -6.02736678747778504e-02
285 262 6.02736678747778504e-02
263 263 -7.87667250636301386e-02
286 263 7.87667250636301386e-02
264 264 -3.48315166110525265e-01
287 264 3.48315166110525265e-01
265 265 -6.84251905784743708e-01
288 265 6.84251905784743708e-01
266 266 -2.47552564485694715e+00
289 266 1.48531538691416820e+00
288 266 9.90210257942778949e-01
267 267 -6.93147180559945220e+00
290 267 5.68380688059155048e+00
289 267 1.24766492500790127e+00
268 268 -1.01933408905874305e+01
291 268 4.68893680967021798e+00
290 268 5.50440408091721256e+00
269 269 -1.38629436111989044e+01
292 269 1.38629436111989044e+01
270 270 -3.46573590279972646e+06
294 270 3.46573590279972646e+06
271 271 -3.46573590279972646e+06
270 271 3.46573590279972646e+06
272 272 -4.07733635623497264e+02
250 272 4.07733635623497264e+02
273 273 -3.46573590279972628e+07
251 273 3.46573590279972628e+07
274 274 -2.31049060186648443e+07
252 274 2.31049060186648443e+07
275 275 -4.62098120373296872e+00
254 275 4.58863433530683817e+00
232 275 3.23468684261307843e-02
276 276 -2.32599725020115899e+00
255 276 2.32413645240099820e+00
209 276 1.16299862510057953e-03
233 276 6.97799175060347652e-04
277 277 -2.76044277403403149e-01
256 277 2.76044277403403149e-01
278 278 -4.54105857285079462e-01
257 278 4.54105857285079462e-01
279 279 -3.61014156541638155e-04
257 279 2.00001842724067556e-04
278 279 1.61012313817570626e-04
281 281 -7.29717713489168453e-14
259 281 1.38646365562942007e-15
304 281 7.15853076932874217e-14
283 283 -3.10299570489723866e-04
306 283 3.10299570489723866e-04
284 284 -9.69436616167755671e-01
283 284 9.69436616167755671e-01
285 285 -2.07777931822525553e-04
307 285 2.07777931822525553e-04
286 286 -8.55737259950549792e-03
308 286 8.55737259950549792e-03
287 287 -1.80507078270819091e-02
309 287 1.80507078270819091e-02
288 288 -1.01933408905874309e-01
310 288 1.01933408905874309e-01
289 289 -2.21452773341835552e-01
311 289 2.21452773341835552e-01
290 290 -1.23776282242847357e+00
312 290 1.13874179663419572e+00
311 290 9.90210257942778921e-02
291 291 -1.67832247108945598e+00
313 291 1.27552507802798654e+00
312 291 4.02797393061469444e-01
292 292 -2.98770336448252261e+00
314 292 1.19508134579300918e+00
313 292 1.79262201868951343e+00
293 293 -6.86284337188064608e+00
315 293 6.86284337188064608e+00
294 294 -3.46573590279972646e+06
316 294 3.46573590279972646e+06
295 295 -4.07733635623497237e+06
317 295 4.07733635623497237e+06
296 296 -3.46573590279972663e+01
318 296 3.46573590279972663e+01
297 297 -3.46573590279972646e+06
319 297 3.46573590279972646e+06
298 298 -3.46573590279972628e+07
273 298 3.46573590279972628e+07
299 299 -4.59037867920493525e+01
275 299 1.03283520282111052e+01
253 299 3.16736128865140500e+01
231 299 3.90182187732419505e+00
300 300 -7.07293041387699262e+00
276 300 4.03157033590988512e+00
254 300 3.04136007796710661e+00
301 301 -4.00663110150257396e+00
277 301 2.45606486522107792e+00
255 301 1.55056623628149626e+00
302 302 -8.20778188940136433e-01
278 302 8.20778188940136433e-01
303 303 -3.90505453836588912e-01
280 303 3.90505453836588912e-01
305 305 -2.28953676142591421e-07
282 305 2.28953676142591421e-07
307 307 -8.16524911161333991e-11
330 307 8.16524911161333991e-11
309 309 -1.05395976729608803e-04
332 309 1.05395976729608803e-04
310 310 -6.67611057606496753e-10
333 310 6.67611057606496753e-10
311 311 -2.15129478758518088e-03
334 311 2.15129478758518088e-03
312 312 -9.73247936759260332e-04
335 312 9.73247936759260332e-04
313 313 -3.22694218137777114e-02
336 313 3.22694218137777114e-02
314 314 -8.25175214952315744e-02
337 314 8.25175214952315744e-02
315 315 -5.63534293138166942e-01
338 315 5.63534293138166942e-01
316 316 -1.45925722223146392e+00
339 316 1.45925722223146392e+00
317 317 -4.07733635623497204e+00
340 317 1.42706772468224008e+00
339 317 2.65026863155273196e+00
318 318 -8.15467271246994407e+00
341 318 5.30053726310546391e+00
340 318 2.85413544936448016e+00
319 319 -3.46573590279972646e+06
342 319 3.46573590279972646e+06
320 320 -6.93147180559945326e+01
343 320 6.93147180559945326e+01
321 321 -2.31049060186648433e+02
344 321 1.15524530093324216e+02
343 321 1.15524530093324216e+02
322 322 -2.10044600169680393e+02
299 322 2.10044600169680393e+02
323 323 -2.77258872223978117e+07
300 323 2.77258872223978117e+07
324 324 -2.77258872223978117e+07
301 324 2.77258872223978117e+07
325 325 -3.89408528404463672e+00
303 325 3.87967716849367150e+00
278 325 1.44081155509651563e-02
326 326 -2.02674614198814407e+00
304 326 2.02571047470958820e+00
255 326 6.28291304016324626e-05
280 326 9.72838148154309200e-04
327 327 -5.65372904208764515e-01
305 327 5.65372904208764515e-01
328 328 -1.51289326994924326e-03
306 328 1.51289326994924326e-03
329 329 -7.50159286320287055e-01
306 329 7.50159286320287055e-01
331 331 -1.75997598145421157e-17
308 331 1.91133391585927382e-18
353 331 1.56884258986828408e-17
333 333 -1.55777413825949571e-05
355 333 1.55777413825949571e-05
334 334 -8.63412033582393248e-06
356 334 8.63412033582393248e-06
335 335 -5.22026796625956694e-04
357 335 5.22026796625956694e-04
336 336 -6.48649804005189306e-04
358 336 6.48649804005189306e-04
337 337 -6.60140171961852689e-03
359 337 6.60140171961852689e-03
338 338 -3.96084103177111596e-02
360 338 3.96084103177111596e-02
339 339 -1.01933408905874309e-01
361 339 1.00771368044347345e-01
360 339 1.16204086152696721e-03
340 340 -5.50116809968210552e-01
362 340 7.70163533955494778e-02
361 340 4.73100456572661088e-01
341 341 -1.46853216220327409e+00
363 341 1.04265783516432453e+00
362 341 4.25874327038949452e-01
342 342 -1.89903337139711037e+00
364 342 1.00648768684046863e+00
363 342 8.92545684556641850e-01
343 343 -6.60140171961852662e+00
365 343 1.78237846429700220e+00
364 343 4.81902325532152442e+00
344 344 -2.31049060186648454e+01
366 344 3.69678496298637516e+00
365 344 1.54802870325054478e+01
